3/2/2020,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,"-$35,737,427.41"
2/18/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$214,970,520.81"
2/18/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$44,930,888.20"
2/19/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$229,949,443.15"
2/19/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$126,828,725.10"
2/19/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$35,010,454.27"
2/19/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$799,029,826.50"
2/19/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$219,990,902.00"
2/22/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$89,797,786.59"
2/22/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$25,930,899.40"
2/22/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$270,078,331.07"
2/22/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$360,034,421.80"
2/22/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$104,575,480.00"
2/23/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$239,822,160.00"
2/23/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$395,716,736.23"
2/23/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$109,754,036.95"
2/24/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$30,019,968.09"
2/24/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$145,052,992.19"
2/24/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$150,093,566.40"
2/24/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$35,003,575.25"
2/25/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$440,638,208.64"
2/25/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$154,160,844.07"
2/25/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$60,002,492.64"
2/25/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$115,145,722.80"
2/26/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$3,739,770.43"
2/26/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$467,095,392.49"
2/26/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$107,046,406.51"
2/26/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$99,924,812.48"
2/26/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$199,479,983.50"
2/26/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$224,389,431.90"
3/1/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$25,007,403.67"
3/1/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$185,191,813.95"
3/2/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$79,854,375.00"
3/2/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$56,044,601.36"
3/2/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$570,063,453.90"
3/2/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$400,409,323.20"
3/3/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$169,759,289.70"
3/3/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$186,559,064.55"
3/3/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$49,936,905.82"
3/3/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$149,929,970.40"
3/4/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$339,941,647.50"
3/4/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$238,520,990.50"
3/4/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$74,912,271.28"
3/4/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$60,100,453.00"
3/4/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$164,878,125.00"
3/5/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$130,215,654.95"
3/5/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$9,085,357.80"
3/5/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$174,653,542.00"
3/5/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$160,204,638.25"
3/5/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$200,100,654.60"
3/8/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$260,533,139.50"
3/8/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$230,249,613.30"
3/8/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$450,674,565.50"
3/8/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$599,893,336.00"
3/9/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$184,763,488.00"
3/9/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$125,192,158.00"
3/9/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$360,679,790.40"
3/10/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$419,977,234.40"
3/10/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$51,100,944.00"
3/10/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$510,151,113.00"
3/10/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$450,203,355.00"
3/11/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$340,415,076.40"
3/11/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$20,029,335.35"
3/11/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$30,007,203.30"
3/11/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$475,683,370.00"
3/12/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$275,199,744.00"
3/12/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$12,032,204.80"
3/12/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$160,062,174.00"
3/12/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$209,999,888.00"
3/15/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$260,379,079.30"
3/15/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$41,511,332.70"
3/15/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$60,008,388.50"
3/15/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$165,191,327.50"
3/16/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$250,128,000.00"
3/16/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$43,060,798.20"
3/16/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$60,036,944.61"
3/16/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$299,893,955.20"
3/17/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$160,172,852.00"
3/17/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$18,071,470.80"
3/17/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$849,413,990.40"
3/18/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$290,928,480.00"
3/18/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$164,118,708.20"
3/18/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$648,857,707.80"
3/18/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$751,529,424.80"
3/19/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$170,011,659.90"
3/19/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$209,098,921.50"
3/19/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$279,726,811.50"
3/19/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$579,732,321.00"
3/22/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$130,266,123.60"
3/22/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$340,269,965.80"
3/22/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$109,962,781.50"
3/22/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$220,634,204.00"
3/23/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$457,728,612.90"
3/23/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$625,910,356.50"
3/23/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$360,220,703.50"
